"","Observed Share of Wealth Garnered by Households Above Tax Threshold","Simulated Share of Wealth Garnered by Households Above Tax Threshold Before Tax in Year t","Simulated Post-Tax Share of Wealth Garnered by Households Above Tax Threshold","Simulated Post-Tax and Transfer Share of Wealth Garnered by Households Above Tax Threshold"
"1",0.310500908567479,0.310500908567479,0.309037309503369,0.309041441887953
"2",0.312339517904004,0.309216080218963,0.307647793986558,0.307652461411639
"3",0.360451110802648,0.3538982294107,0.352522710520144,0.352527107866037
"4",0.35494311541078,0.346004129873604,0.344936601984372,0.344940081218058
"5",0.33835440048434,0.327706609390641,0.326886801469244,0.326889497011486
"6",0.346643758720321,0.3342427289495,0.333488641059034,0.333491142514515
"7",0.351429548893946,0.33747524565889,0.336799128359287,0.336801330146834
"8",0.356048027197172,0.340620170125794,0.33992715026329,0.339929797528286
"9",0.374981967521428,0.357752226766568,0.357053677696781,0.357056298254902
"10",0.402142142719183,0.383170317386407,0.382627306793966,0.382629400856384
"11",0.391333690409103,0.371568338119512,0.371078802216976,0.371080872414825
