"","Racial Wealth Gap - Observed","Racial Wealth Gap - Simulated Post-Tax","Racial Wealth Gap - Simulated Post-Tax & Transfer"
"1989",16.79,16.79,3.27
"1992",7.04,6.96,2.59
"1995",7.03,6.98,2.64
"1998",6.13,6.12,2.74
"2001",6.35,6.33,3.2
"2004",6.67,6.67,3.26
"2007",9.55,9.53,3.53
"2010",7.92,7.82,2.75
"2013",12.17,12.12,4.49
"2016",9.99,9.9,3.93
"2019",8.75,8.7,3.53
