"","Observed Share of Wealth Garnered by Households Above Tax Threshold","Simulated Share of Wealth Garnered by Households Above Tax Threshold Before Tax in Year t","Simulated Post-Tax Share of Wealth Garnered by Households Above Tax Threshold","Simulated Post-Tax and Transfer Share of Wealth Garnered by Households Above Tax Threshold"
"1",0.310500908567479,0.310500908567479,0.307573710439259,0.307581975208426
"2",0.312339517904004,0.306064138998424,0.302913254833877,0.302922632277532
"3",0.360451110802648,0.347266814453528,0.344487540759872,0.344496425718011
"4",0.35494311541078,0.336945928220764,0.334781300748251,0.334788355594213
"5",0.33835440048434,0.316925877742815,0.315259969423174,0.315265446957766
"6",0.346643758720321,0.321676055025688,0.320139411281907,0.320144508626611
"7",0.351429548893946,0.323319962505393,0.321938836512293,0.321943334172706
"8",0.356048027197172,0.324949222396229,0.323530241784804,0.323535662145613
"9",0.374981967521428,0.340180666507585,0.338745344499949,0.338750729010367
"10",0.402142142719183,0.363728621634689,0.362608370428051,0.362612690557313
"11",0.391333690409103,0.35132694339065,0.350316336288939,0.350320610044218
