"","Observed Share of Wealth Garnered by Households Above Tax Threshold","Simulated Share of Wealth Garnered by Households Above Tax Threshold Before Tax in Year t","Simulated Post-Tax Share of Wealth Garnered by Households Above Tax Threshold","Simulated Post-Tax and Transfer Share of Wealth Garnered by Households Above Tax Threshold"
"1",0.310500908567479,0.310500908567479,0.307097180507848,0.307110955123127
"2",0.312339517904004,0.30503168917621,0.301362409255096,0.301379029466843
"3",0.360451110802648,0.345090644842814,0.341848148059384,0.341864899994201
"4",0.35494311541078,0.333970873979843,0.331442564823789,0.331456704959164
"5",0.33835440048434,0.313387279790983,0.311440136801191,0.311451802441091
"6",0.346643758720321,0.317549157983302,0.315751487224486,0.315763024820376
"7",0.351429548893946,0.318668440518329,0.317051436212562,0.317062254451422
"8",0.356048027197172,0.319795336680432,0.318132757412225,0.318146611686837
"9",0.374981967521428,0.334386439729287,0.332702799848803,0.332717430156055
"10",0.402142142719183,0.357297348637022,0.355981560821617,0.355994041328243
"11",0.391333690409103,0.344634401236368,0.343447149363545,0.343460262086044
