"","Racial Wealth Gap - Observed","Racial Wealth Gap - Simulated Post-Tax","Racial Wealth Gap - Simulated Post-Tax & Transfer"
"1989",16.79,16.79,4.79
"1992",7.04,6.96,3.53
"1995",7.03,6.98,3.34
"1998",6.13,6.12,3.4
"2001",6.35,6.33,3.62
"2004",6.67,6.67,3.59
"2007",9.55,9.53,3.79
"2010",7.92,7.82,2.91
"2013",12.17,12.12,4.44
"2016",9.99,9.9,3.91
"2019",8.75,8.7,3.54
