"","US Population","Cost per Birth","Children Born","Total Endowment Program Cost","Tax Rate"
"1989",246819000,"$8,741",4158212,"$36,347,861,640","0.53832%"
"1990",249623000,"$8,741",4158212,"$36,347,861,640","0.56606%"
"1991",252981000,"$8,741",4110907,"$35,934,358,049","0.58917%"
"1992",256514000,"$8,741",4065014,"$35,533,197,066","0.57334%"
"1993",259919000,"$8,741",4000240,"$34,966,993,036","0.49909%"
"1994",263126000,"$8,741",3952767,"$34,552,020,919","0.43910%"
"1995",266278000,"$8,741",3899589,"$34,087,180,121","0.38468%"
"1996",269394000,"$8,741",3891494,"$34,016,419,914","0.34252%"
"1997",272657000,"$8,741",3880894,"$33,923,762,942","0.30558%"
"1998",275854000,"$8,741",3941553,"$34,453,996,836","0.32781%"
"1999",279040000,"$8,741",3959417,"$34,610,150,058","0.28993%"
"2000",282162411,"$8,741",4058814,"$35,479,001,478","0.26565%"
"2001",284968955,"$8,741",4025933,"$35,191,581,299","0.29195%"
"2002",287625193,"$8,741",4021726,"$35,154,806,970","0.26137%"
"2003",290107933,"$8,741",4089950,"$35,751,168,222","0.24876%"
"2004",292805298,"$8,741",4112052,"$35,944,366,750","0.24992%"
"2005",295516599,"$8,741",4138349,"$36,174,234,712","0.21867%"
"2006",298379912,"$8,741",4265555,"$37,286,170,825","0.20750%"
"2007",301231207,"$8,741",4316233,"$37,729,158,564","0.22590%"
"2008",304093966,"$8,741",4247694,"$37,130,043,827","0.22374%"
"2009",306771529,"$8,741",3932181,"$34,372,074,087","0.22357%"
"2010",309321666,"$8,741",3791712,"$33,144,203,123","0.21328%"
"2011",311556874,"$8,741",4130665,"$36,107,067,148","0.21123%"
"2012",313830990,"$8,741",3999386,"$34,959,528,031","0.19584%"
"2013",315993715,"$8,741",3978497,"$34,776,932,607","0.20626%"
"2014",318301008,"$8,741",3953590,"$34,559,214,947","0.16431%"
"2015",320635163,"$8,741",3952841,"$34,552,667,770","0.14185%"
"2016",322941311,"$8,741",3988076,"$34,860,664,790","0.14348%"
"2017",324985539,"$8,741",3945875,"$34,491,776,405","0.13257%"
"2018",326687501,"$8,741",3855500,"$33,701,788,305","0.12881%"
"2019",328239523,"$8,741",3747540,"$32,758,085,786","0.12450%"
