"","Observed Share of Wealth Garnered by Households Above Tax Threshold","Simulated Share of Wealth Garnered by Households Above Tax Threshold Before Tax in Year t","Simulated Post-Tax Share of Wealth Garnered by Households Above Tax Threshold","Simulated Post-Tax and Transfer Share of Wealth Garnered by Households Above Tax Threshold"
"1",0.310500908567479,0.310500908567479,0.305622245020445,0.305636019635724
"2",0.312339517904004,0.301816533372516,0.296532915311691,0.29654864005055
"3",0.360451110802648,0.338301584740481,0.333605840140731,0.333620851794422
"4",0.35494311541078,0.324681994765466,0.321007553597365,0.321019529152867
"5",0.33835440048434,0.302346540321967,0.299510765343249,0.299520089419104
"6",0.346643758720321,0.304667118722868,0.302041827051694,0.302050535652272
"7",0.351429548893946,0.304140377189781,0.30177325693757,0.301780965505147
"8",0.356048027197172,0.303685443826505,0.301245980783022,0.301255299282352
"9",0.374981967521428,0.316226986532534,0.313747938090431,0.313757238067784
"10",0.402142142719183,0.337076983942116,0.33513169158758,0.335139193400008
"11",0.391333690409103,0.32360402569897,0.321847695170999,0.321855122515269
