"","US Population","Cost per Birth","Children Born","Total Endowment Program Cost","Tax Rate"
"1989",246819000,"$41,764",4158212,"$173,661,530,817","2.5719%"
"1990",249623000,"$41,764",4158212,"$173,661,530,817","2.7620%"
"1991",252981000,"$41,764",4110907,"$171,685,907,949","2.9421%"
"1992",256514000,"$41,764",4065014,"$169,769,255,158","2.7393%"
"1993",259919000,"$41,764",4000240,"$167,064,065,525","2.5897%"
"1994",263126000,"$41,764",3952767,"$165,081,426,387","2.3170%"
"1995",266278000,"$41,764",3899589,"$162,860,526,422","1.8379%"
"1996",269394000,"$41,764",3891494,"$162,522,450,804","1.8510%"
"1997",272657000,"$41,764",3880894,"$162,079,757,592","1.6693%"
"1998",275854000,"$41,764",3941553,"$164,613,090,380","1.5662%"
"1999",279040000,"$41,764",3959417,"$165,359,153,733","1.6483%"
"2000",282162411,"$41,764",4058814,"$169,510,321,393","1.5203%"
"2001",284968955,"$41,764",4025933,"$168,137,095,402","1.3949%"
"2002",287625193,"$41,764",4021726,"$167,961,396,313","1.5705%"
"2003",290107933,"$41,764",4089950,"$170,810,670,058","1.5045%"
"2004",292805298,"$41,764",4112052,"$171,733,727,169","1.1941%"
"2005",295516599,"$41,764",4138349,"$172,831,982,206","1.3355%"
"2006",298379912,"$41,764",4265555,"$178,144,551,332","1.2717%"
"2007",301231207,"$41,764",4316233,"$180,261,042,521","1.0793%"
"2008",304093966,"$41,764",4247694,"$177,398,613,270","1.4371%"
"2009",306771529,"$41,764",3932181,"$164,221,682,759","1.4687%"
"2010",309321666,"$41,764",3791712,"$158,355,204,193","1.0190%"
"2011",311556874,"$41,764",4130665,"$172,511,071,391","1.3540%"
"2012",313830990,"$41,764",3999386,"$167,028,399,487","1.2638%"
"2013",315993715,"$41,764",3978497,"$166,156,001,514","0.9855%"
"2014",318301008,"$41,764",3953590,"$165,115,797,757","1.0694%"
"2015",320635163,"$41,764",3952841,"$165,084,516,887","0.9185%"
"2016",322941311,"$41,764",3988076,"$166,556,054,182","0.6855%"
"2017",324985539,"$41,764",3945875,"$164,793,592,273","0.8850%"
"2018",326687501,"$41,764",3855500,"$161,019,215,005","0.8657%"
"2019",328239523,"$41,764",3747540,"$156,510,426,404","0.8423%"
