"","Observed Share of Wealth Garnered by Households Above Tax Threshold","Simulated Share of Wealth Garnered by Households Above Tax Threshold Before Tax in Year t","Simulated Post-Tax Share of Wealth Garnered by Households Above Tax Threshold","Simulated Post-Tax and Transfer Share of Wealth Garnered by Households Above Tax Threshold"
"1",0.310500908567479,0.310500908567479,0.30947979014959,0.309483922534174
"2",0.312339517904004,0.310163357658764,0.309070701906911,0.309075651153181
"3",0.360451110802648,0.35588757125018,0.354930859090577,0.354935801818607
"4",0.35494311541078,0.348719144348636,0.34797744734793,0.34798159545457
"5",0.33835440048434,0.330939751043231,0.330370541093359,0.330373951319695
"6",0.346643758720321,0.338009428142774,0.337486295477223,0.337489652984854
"7",0.351429548893946,0.341715323550546,0.34124663141024,0.341249767099803
"8",0.356048027197172,0.345310232359677,0.344830167890783,0.344834168268456
"9",0.374981967521428,0.362997389320732,0.362514008393722,0.362518208823734
"10",0.402142142719183,0.388955510844755,0.388580218370796,0.38858377809384
"11",0.391333690409103,0.377594199544013,0.377255936845922,0.37725967282225
