"","Racial Wealth Gap - Observed","Racial Wealth Gap - Simulated Post-Tax","Racial Wealth Gap - Simulated Post-Tax & Transfer"
"1989",16.79,16.79,4.79
"1992",7.04,7.04,3.53
"1995",7.03,7.03,3.35
"1998",6.13,6.13,3.4
"2001",6.35,6.35,3.64
"2004",6.67,6.67,3.6
"2007",9.55,9.54,3.81
"2010",7.92,7.92,2.92
"2013",12.17,12.16,4.47
"2016",9.99,9.98,3.92
"2019",8.75,8.75,3.55
